element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
62,12,15,0,True,2024-08-25T13:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-312,856,26,338,0,0.00,0.00,0.00,0.00
62,24,8,0,False,2024-08-31T14:00:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-146,719,49,195,0,0.00,0.00,0.00,0.00
62,32,6,0,True,2024-09-14T19:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-16,720,91,107,0,0.00,0.00,0.00,0.00
63,6,16,1,False,2024-08-17T14:00:00Z,1,1,1,27,0,0,0,0,0,0,0,0,0,0,0,5,3.6,1.1,2.0,0.7,50,0,22131,0,0,0,0.00,0.01,0.01,0.28
63,12,15,2,True,2024-08-25T13:00:00Z,1,1,2,63,0,0,1,0,0,0,0,1,0,0,0,7,8.4,32.3,2.0,4.3,50,-2423,20506,330,2753,1,0.00,0.03,0.03,0.25
63,24,8,2,False,2024-08-31T14:00:00Z,2,3,3,65,0,0,0,2,0,0,0,0,0,0,0,12,7.6,11.8,2.0,2.1,49,-917,20266,2345,3262,1,0.00,0.02,0.02,1.71
63,32,6,2,True,2024-09-14T19:00:00Z,0,1,4,67,0,0,1,0,0,0,0,1,0,0,0,10,15.0,23.1,9.0,4.7,49,1834,22843,5980,4146,1,0.08,0.06,0.14,0.47
64,6,16,1,False,2024-08-17T14:00:00Z,1,1,1,83,0,0,0,1,0,0,0,1,0,0,0,12,10.8,16.0,0.0,2.7,50,0,6523,0,0,1,0.00,0.21,0.21,1.04
64,12,15,2,True,2024-08-25T13:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,14,17.2,22.1,0.0,3.9,50,-522,7191,396,918,1,0.00,0.30,0.30,1.61
64,24,8,7,False,2024-08-31T14:00:00Z,2,3,3,90,1,0,0,2,0,0,0,0,0,0,0,31,49.4,6.9,35.0,9.1,50,-484,7182,667,1151,1,0.19,0.02,0.21,1.97
64,32,6,1,True,2024-09-14T19:00:00Z,0,1,4,90,0,0,0,1,0,0,0,1,0,0,0,6,3.0,14.1,9.0,2.6,50,3289,12197,5165,1876,1,0.04,0.01,0.05,0.78
65,6,16,0,False,2024-08-17T14:00:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,3455,0,0,0,0.00,0.00,0.00,0.00
65,12,15,0,True,2024-08-25T13:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1083,2449,86,1169,0,0.00,0.00,0.00,0.00
65,24,8,0,False,2024-08-31T14:00:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-414,2144,217,631,0,0.00,0.00,0.00,0.00
65,32,6,1,True,2024-09-14T19:00:00Z,0,1,4,7,0,0,0,1,0,0,0,0,0,0,0,7,7.2,10.3,24.0,4.2,54,-210,2007,214,424,0,0.08,0.04,0.12,0.30
66,6,16,0,False,2024-08-17T14:00:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,1707,0,0,0,0.00,0.00,0.00,0.00
66,12,15,0,True,2024-08-25T13:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-580,1416,23,603,0,0.00,0.00,0.00,0.00
66,24,8,0,False,2024-08-31T14:00:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-396,1025,0,396,0,0.00,0.00,0.00,0.00
66,32,6,0,True,2024-09-14T19:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-182,850,0,182,0,0.00,0.00,0.00,0.00
67,6,16,0,False,2024-08-17T14:00:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,17000,0,0,0,0.00,0.00,0.00,0.00
67,12,15,0,True,2024-08-25T13:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-592,19609,1680,2272,0,0.00,0.00,0.00,0.00
67,24,8,0,False,2024-08-31T14:00:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2819,17280,1845,4664,0,0.00,0.00,0.00,0.00
67,32,6,0,True,2024-09-14T19:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4880,12360,0,4880,0,0.00,0.00,0.00,0.00
68,6,16,0,False,2024-08-17T14:00:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,30926,0,0,0,0.00,0.00,0.00,0.00
68,12,15,0,True,2024-08-25T13:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-954,35672,2017,2971,0,0.00,0.00,0.00,0.00
68,24,8,0,False,2024-08-31T14:00:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-361,37622,3706,4067,0,0.00,0.00,0.00,0.00
68,32,6,0,True,2024-09-14T19:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-352,38808,3760,4112,0,0.00,0.00,0.00,0.00
69,6,16,1,False,2024-08-17T14:00:00Z,1,1,1,21,0,0,0,0,0,0,0,0,0,0,0,4,3.2,10.6,2.0,1.6,45,0,123937,0,0,0,0.00,0.00,0.00,0.28
69,12,15,1,True,2024-08-25T13:00:00Z,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,45,52407,227529,76066,23659,0,0.00,0.00,0.00,0.06
69,24,8,0,False,2024-08-31T14:00:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,187889,455405,304019,116130,0,0.00,0.00,0.00,0.00
69,32,6,0,True,2024-09-14T19:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-116348,320505,0,116348,0,0.00,0.00,0.00,0.00
70,6,16,1,False,2024-08-17T14:00:00Z,1,1,1,90,0,0,0,1,0,0,0,1,0,0,0,5,12.0,12.7,2.0,2.7,45,0,40065,0,0,1,0.00,0.01,0.01,1.30
70,12,15,2,True,2024-08-25T13:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,4,14.8,2.9,2.0,2.0,45,-2474,41715,1374,3848,1,0.00,0.01,0.01,1.61
70,24,8,1,False,2024-08-31T14:00:00Z,2,3,3,65,0,0,0,2,0,0,0,0,0,0,0,3,8.2,19.6,4.0,3.2,45,1897,46129,6136,4239,1,0.01,0.06,0.07,1.71
70,32,6,2,True,2024-09-14T19:00:00Z,0,1,4,90,0,0,0,1,0,0,0,0,0,0,0,9,9.4,0.3,3.0,1.3,45,-5775,41068,1819,7594,1,0.07,0.00,0.07,0.78
71,6,16,0,False,2024-08-17T14:00:00Z,1,1,1,26,0,0,0,0,0,0,0,1,0,0,0,0,1.8,6.7,6.0,1.5,55,0,38451,0,0,0,0.00,0.02,0.02,0.28
71,12,15,3,True,2024-08-25T13:00:00Z,1,1,2,71,0,0,1,0,0,0,0,0,0,0,0,2,1.8,25.9,11.0,3.9,54,-7376,34210,1050,8426,1,0.04,0.13,0.17,0.59
71,24,8,5,False,2024-08-31T14:00:00Z,2,3,3,90,0,1,0,2,0,0,0,0,0,0,0,22,34.0,37.1,8.0,7.9,54,-3292,32016,2727,6019,1,0.10,0.27,0.37,1.97
71,32,6,2,True,2024-09-14T19:00:00Z,0,1,4,74,0,0,1,0,0,0,0,1,0,0,0,7,9.8,11.3,42.0,6.3,54,-239,33155,5126,5365,1,0.29,0.02,0.31,0.47
72,6,16,0,False,2024-08-17T14:00:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,6641,0,0,0,0.00,0.00,0.00,0.00
72,12,15,0,True,2024-08-25T13:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-917,7211,77,994,0,0.00,0.00,0.00,0.00
72,24,8,0,False,2024-08-31T14:00:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-741,7090,156,897,0,0.00,0.00,0.00,0.00
72,32,6,0,True,2024-09-14T19:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1864,5241,54,1918,0,0.00,0.00,0.00,0.00
74,6,16,2,False,2024-08-17T14:00:00Z,1,1,1,68,0,0,0,1,0,0,0,0,0,0,0,8,8.2,3.0,11.0,2.2,50,0,1977,0,0,1,0.22,0.01,0.23,1.02
74,12,15,1,True,2024-08-25T13:00:00Z,1,1,2,18,0,0,0,1,0,0,0,0,0,0,0,6,5.4,0.3,7.0,1.3,50,-23,2712,300,323,0,0.26,0.00,0.26,1.03
74,24,8,4,False,2024-08-31T14:00:00Z,2,3,3,24,0,1,0,0,0,0,0,0,0,0,0,22,27.8,39.1,4.0,7.1,50,-235,2682,250,485,0,0.00,0.78,0.78,0.26
74,32,6,0,True,2024-09-14T19:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-46,2990,467,513,0,0.00,0.00,0.00,0.00
75,6,16,0,False,2024-08-17T14:00:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,5098,0,0,0,0.00,0.00,0.00,0.00
75,12,15,0,True,2024-08-25T13:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-589,4476,0,589,0,0.00,0.00,0.00,0.00
75,24,8,0,False,2024-08-31T14:00:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-339,4141,0,339,0,0.00,0.00,0.00,0.00
75,32,6,0,True,2024-09-14T19:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-385,3770,0,385,0,0.00,0.00,0.00,0.00
76,6,16,1,False,2024-08-17T14:00:00Z,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,2.0,0.4,50,0,6497,0,0,0,0.00,0.00,0.00,0.26
76,12,15,0,True,2024-08-25T13:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-693,6880,275,968,0,0.00,0.00,0.00,0.00
76,24,8,0,False,2024-08-31T14:00:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1313,5786,248,1561,0,0.00,0.00,0.00,0.00
76,32,6,1,True,2024-09-14T19:00:00Z,0,1,4,15,0,0,0,1,0,0,0,0,0,0,0,4,3.2,4.7,2.0,1.0,48,-857,5053,440,1297,0,0.00,0.09,0.09,0.32
77,6,16,2,False,2024-08-17T14:00:00Z,1,1,1,62,0,0,0,1,0,0,0,0,0,0,0,11,22.8,12.8,0.0,3.6,50,0,4339,0,0,1,0.00,0.01,0.01,1.02
77,12,15,1,True,2024-08-25T13:00:00Z,1,1,2,26,0,0,0,1,0,0,0,0,0,0,0,3,3.4,0.3,1.0,0.5,50,-166,5356,382,548,0,0.02,0.01,0.03,1.36
77,24,8,1,False,2024-08-31T14:00:00Z,2,3,3,24,0,0,0,0,0,0,0,0,0,0,0,4,12.6,2.4,0.0,1.5,50,-574,5140,349,923,0,0.00,0.01,0.01,0.26
77,32,6,1,True,2024-09-14T19:00:00Z,0,1,4,22,0,0,0,1,0,0,0,0,0,0,0,5,2.8,0.3,0.0,0.3,49,-414,5049,336,750,0,0.00,0.00,0.00,0.32
78,6,16,8,False,2024-08-17T14:00:00Z,1,1,1,90,1,0,0,1,0,0,0,0,0,0,1,25,39.0,6.7,53.0,9.9,55,0,92042,0,0,1,0.44,0.04,0.48,1.30
78,12,15,5,True,2024-08-25T13:00:00Z,1,1,2,90,0,1,0,1,0,0,0,0,0,0,0,20,26.0,33.9,38.0,9.8,55,34280,153277,46515,12235,1,0.27,1.23,1.50,1.61
78,24,8,6,False,2024-08-31T14:00:00Z,2,3,3,90,1,0,0,2,0,0,0,1,0,0,0,23,40.4,15.8,59.0,11.5,55,143450,316904,191022,47572,1,0.50,0.03,0.53,1.97
78,32,6,1,True,2024-09-14T19:00:00Z,0,1,4,90,0,0,0,1,0,0,0,1,0,0,0,4,0.0,2.3,13.0,1.2,56,265962,610621,389980,124018,1,0.10,0.03,0.13,0.78
79,6,16,0,False,2024-08-17T14:00:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,91548,0,0,0,0.00,0.00,0.00,0.00
79,12,15,1,True,2024-08-25T13:00:00Z,1,1,2,90,0,0,0,1,0,0,0,1,0,0,0,11,29.4,5.3,2.0,3.7,50,-15927,80441,1473,17400,1,0.00,0.03,0.03,1.61
79,24,8,1,False,2024-08-31T14:00:00Z,2,3,3,76,0,0,0,2,0,0,0,0,0,0,0,6,19.4,5.3,2.0,2.7,49,-4307,79136,6489,10796,1,0.00,0.05,0.05,1.89
79,32,6,1,True,2024-09-14T19:00:00Z,0,1,4,90,0,0,0,1,0,0,0,1,0,0,0,-1,25.2,20.3,2.0,4.8,49,-11117,69076,2478,13595,1,0.00,0.01,0.01,0.78
80,6,16,2,False,2024-08-17T14:00:00Z,1,1,1,63,0,0,0,1,0,0,0,0,0,0,0,7,7.0,1.8,23.0,3.2,50,0,17130,0,0,1,0.15,0.02,0.17,1.02
80,12,15,1,True,2024-08-25T13:00:00Z,1,1,2,18,0,0,0,1,0,0,0,0,0,0,0,7,10.0,10.8,19.0,4.0,50,-575,18377,1319,1894,0,0.04,0.05,0.09,1.03
80,24,8,11,False,2024-08-31T14:00:00Z,2,3,3,25,1,1,0,0,0,0,0,0,0,0,2,38,51.0,17.8,36.0,10.5,50,-2892,15915,1030,3922,0,0.37,0.24,0.61,0.26
80,32,6,1,True,2024-09-14T19:00:00Z,0,1,4,22,0,0,0,1,0,0,0,0,0,0,0,3,2.2,10.3,5.0,1.8,50,29679,51718,41868,12189,0,0.09,0.00,0.09,0.32
81,6,16,2,False,2024-08-17T14:00:00Z,1,1,1,62,0,0,0,1,0,0,0,0,0,0,0,8,7.8,4.5,0.0,1.2,45,0,14466,0,0,1,0.00,0.01,0.01,1.02
81,12,15,1,True,2024-08-25T13:00:00Z,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,45,-605,17671,808,1413,0,0.00,0.00,0.00,0.06
81,24,8,1,False,2024-08-31T14:00:00Z,2,3,3,13,0,0,0,0,0,0,0,0,0,0,0,5,5.4,10.0,0.0,1.5,45,-818,17855,1192,2010,0,0.00,0.00,0.00,0.08
81,32,6,5,True,2024-09-14T19:00:00Z,0,1,4,74,0,0,1,0,0,0,0,1,0,0,0,19,10.4,0.4,0.0,1.1,45,-1468,17161,586,2054,1,0.00,0.00,0.00,0.47
83,6,16,2,False,2024-08-17T14:00:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,14,10.2,41.4,27.0,7.9,55,0,14476,0,0,1,0.42,0.12,0.54,1.30
83,12,15,9,True,2024-08-25T13:00:00Z,1,1,2,84,1,0,0,1,0,0,0,0,0,0,2,32,46.4,48.8,35.0,13.0,55,-1331,15285,673,2004,1,0.84,0.04,0.88,1.56
83,24,8,2,False,2024-08-31T14:00:00Z,2,3,3,90,0,0,0,2,0,0,0,0,0,0,0,6,21.0,30.8,81.0,13.3,55,11543,31663,15632,4089,1,0.66,0.22,0.88,1.97
83,32,6,3,True,2024-09-14T19:00:00Z,0,1,4,82,0,0,1,0,0,0,0,0,0,0,0,9,14.8,34.7,24.0,7.4,55,-1922,30733,7743,9665,1,0.10,0.26,0.36,0.48
